Institution,Subinstitution,InstitutionType,År,Afbrudte,Fuldførte,Latitude,Longitude
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Arkitektskole,2019,60.0,338.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Arkitektskole,2020,48.0,334.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Arkitektskole,2021,57.0,357.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Arkitektskole,2022,66.0,317.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Arkitektskole,2023,66.0,316.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Arkitektskole,2024,,280.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Designskole,2015,47.0,108.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Designskole,2016,35.0,122.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Designskole,2017,29.0,91.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Designskole,2018,25.0,96.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Designskole,2019,30.0,209.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Designskole,2020,32.0,182.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Designskole,2021,28.0,202.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Designskole,2022,38.0,80.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Designskole,2023,31.0,137.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Designskole,2024,,157.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering","Kunstakademiets Designskole, Bornholm",2015,19.0,115.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering","Kunstakademiets Designskole, Bornholm",2016,11.0,131.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering","Kunstakademiets Designskole, Bornholm",2017,16.0,107.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering","Kunstakademiets Designskole, Bornholm",2018,32.0,91.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering","Kunstakademiets Designskole, Bornholm",2019,25.0,,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering","Kunstakademiets Designskole, Bornholm",2020,13.0,,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering","Kunstakademiets Designskole, Bornholm",2021,8.0,,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering","Kunstakademiets Designskole, Bornholm",2022,21.0,66.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering","Kunstakademiets Designskole, Bornholm",2023,19.0,12.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering","Kunstakademiets Designskole, Bornholm",2024,,15.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Konservatorskole,2015,35.0,20.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Konservatorskole,2016,22.0,59.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Konservatorskole,2017,14.0,7.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Konservatorskole,2018,,12.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Konservatorskole,2019,,54.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Konservatorskole,2020,,,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Konservatorskole,2021,12.0,18.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Konservatorskole,2022,,36.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Konservatorskole,2023,,6.0,,
Kunstneriske og kulturelle uddannelsesinstitutioner,"Det Kongelige Akademi - Arkitektur, Design, Konservering",Kunstakademiets Konservatorskole,2024,,35.0,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,Aarhus Maskinmesterskole,2015,87.0,149.0,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,Aarhus Maskinmesterskole,2016,76.0,199.0,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,Aarhus Maskinmesterskole,2017,56.0,204.0,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,Aarhus Maskinmesterskole,2018,66.0,226.0,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,Aarhus Maskinmesterskole,2019,61.0,184.0,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,Aarhus Maskinmesterskole,2020,63.0,205.0,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,Aarhus Maskinmesterskole,2021,65.0,190.0,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,Aarhus Maskinmesterskole,2022,55.0,174.0,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,Aarhus Maskinmesterskole,2023,61.0,142.0,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,Aarhus Maskinmesterskole,2024,,115.0,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,"Aarhus Maskinmesterskole, Aarhus afdeling",2015,87.0,,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,"Aarhus Maskinmesterskole, Aarhus afdeling",2016,76.0,,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,"Aarhus Maskinmesterskole, Aarhus afdeling",2017,56.0,,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,"Aarhus Maskinmesterskole, Aarhus afdeling",2018,66.0,,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,"Aarhus Maskinmesterskole, Aarhus afdeling",2019,61.0,,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,"Aarhus Maskinmesterskole, Aarhus afdeling",2020,62.0,,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,"Aarhus Maskinmesterskole, Aarhus afdeling",2021,61.0,,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,"Aarhus Maskinmesterskole, Aarhus afdeling",2022,10.0,,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,"Aarhus Maskinmesterskole, Aarhus afdeling",2023,23.0,86.0,,
Maritime uddannelsesinstitutioner,Aarhus Maskinmesterskole,"Aarhus Maskinmesterskole, Aarhus afdeling",2024,,101.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,Fredericia Maskinmesterskole,2015,56.0,82.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,Fredericia Maskinmesterskole,2016,52.0,61.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,Fredericia Maskinmesterskole,2017,56.0,104.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,Fredericia Maskinmesterskole,2018,45.0,89.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,Fredericia Maskinmesterskole,2019,54.0,,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,Fredericia Maskinmesterskole,2020,47.0,,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,Fredericia Maskinmesterskole,2021,60.0,,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,Fredericia Maskinmesterskole,2022,35.0,,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,Fredericia Maskinmesterskole,2023,41.0,,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,Fredericia Maskinmesterskole,2024,,,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Esbjerg",2015,39.0,,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Esbjerg",2016,38.0,,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Esbjerg",2017,18.0,,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Esbjerg",2018,,43.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Esbjerg",2019,,54.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Esbjerg",2020,,44.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Esbjerg",2021,,39.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Esbjerg",2022,,52.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Esbjerg",2023,,46.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Esbjerg",2024,,52.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Købmagergade",2015,17.0,,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Købmagergade",2016,14.0,,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Købmagergade",2017,21.0,,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Købmagergade",2018,17.0,,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Købmagergade",2019,25.0,90.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Købmagergade",2020,19.0,88.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Købmagergade",2021,24.0,75.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Købmagergade",2022,15.0,65.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Købmagergade",2023,15.0,80.0,,
Maritime uddannelsesinstitutioner,Fredericia Maskinmesterskole,"Fredericia Maskinmesterskole, Købmagergade",2024,,61.0,,
Maritime uddannelsesinstitutioner,MARTEC - Maritime and Polytechnic College,MARTEC - Maritime and Polytechnic College,2015,40.0,46.0,,
Maritime uddannelsesinstitutioner,MARTEC - Maritime and Polytechnic College,MARTEC - Maritime and Polytechnic College,2016,32.0,69.0,,
Maritime uddannelsesinstitutioner,MARTEC - Maritime and Polytechnic College,MARTEC - Maritime and Polytechnic College,2017,53.0,87.0,,
Maritime uddannelsesinstitutioner,MARTEC - Maritime and Polytechnic College,MARTEC - Maritime and Polytechnic College,2018,42.0,89.0,,
Maritime uddannelsesinstitutioner,MARTEC - Maritime and Polytechnic College,MARTEC - Maritime and Polytechnic College,2019,26.0,88.0,,
Maritime uddannelsesinstitutioner,MARTEC - Maritime and Polytechnic College,MARTEC - Maritime and Polytechnic College,2020,35.0,81.0,,
Maritime uddannelsesinstitutioner,MARTEC - Maritime and Polytechnic College,MARTEC - Maritime and Polytechnic College,2021,51.0,98.0,,
Maritime uddannelsesinstitutioner,MARTEC - Maritime and Polytechnic College,MARTEC - Maritime and Polytechnic College,2022,50.0,101.0,,
Maritime uddannelsesinstitutioner,MARTEC - Maritime and Polytechnic College,MARTEC - Maritime and Polytechnic College,2023,45.0,125.0,,
Maritime uddannelsesinstitutioner,MARTEC - Maritime and Polytechnic College,MARTEC - Maritime and Polytechnic College,2024,,110.0,,
Maritime uddannelsesinstitutioner,"Svendborg International Maritime Academy, SIMAC","Svendborg International Maritime Academy, SIMAC",2015,61.0,133.0,,
Maritime uddannelsesinstitutioner,"Svendborg International Maritime Academy, SIMAC","Svendborg International Maritime Academy, SIMAC",2016,62.0,126.0,,
Maritime uddannelsesinstitutioner,"Svendborg International Maritime Academy, SIMAC","Svendborg International Maritime Academy, SIMAC",2017,83.0,110.0,,
Maritime uddannelsesinstitutioner,"Svendborg International Maritime Academy, SIMAC","Svendborg International Maritime Academy, SIMAC",2018,114.0,131.0,,
Maritime uddannelsesinstitutioner,"Svendborg International Maritime Academy, SIMAC","Svendborg International Maritime Academy, SIMAC",2019,75.0,136.0,,
Maritime uddannelsesinstitutioner,"Svendborg International Maritime Academy, SIMAC","Svendborg International Maritime Academy, SIMAC",2020,136.0,154.0,,
Maritime uddannelsesinstitutioner,"Svendborg International Maritime Academy, SIMAC","Svendborg International Maritime Academy, SIMAC",2021,152.0,152.0,,
Maritime uddannelsesinstitutioner,"Svendborg International Maritime Academy, SIMAC","Svendborg International Maritime Academy, SIMAC",2022,103.0,127.0,,
Maritime uddannelsesinstitutioner,"Svendborg International Maritime Academy, SIMAC","Svendborg International Maritime Academy, SIMAC",2023,84.0,136.0,,
Maritime uddannelsesinstitutioner,"Svendborg International Maritime Academy, SIMAC","Svendborg International Maritime Academy, SIMAC",2024,,167.0,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,Teknika – Copenhagen College of Technology Management and Marine Engineering,2015,80.0,,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,Teknika – Copenhagen College of Technology Management and Marine Engineering,2016,83.0,,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,Teknika – Copenhagen College of Technology Management and Marine Engineering,2017,100.0,,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,Teknika – Copenhagen College of Technology Management and Marine Engineering,2018,88.0,,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,Teknika – Copenhagen College of Technology Management and Marine Engineering,2019,77.0,,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,Teknika – Copenhagen College of Technology Management and Marine Engineering,2020,82.0,,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,Teknika – Copenhagen College of Technology Management and Marine Engineering,2021,117.0,,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,Teknika – Copenhagen College of Technology Management and Marine Engineering,2022,90.0,,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,Teknika – Copenhagen College of Technology Management and Marine Engineering,2023,50.0,,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,Teknika – Copenhagen College of Technology Management and Marine Engineering,2024,,147.0,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,"Teknika, Campus Lyngby",2015,,106.0,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,"Teknika, Campus Lyngby",2016,,113.0,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,"Teknika, Campus Lyngby",2017,,105.0,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,"Teknika, Campus Lyngby",2018,,170.0,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,"Teknika, Campus Lyngby",2019,,172.0,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,"Teknika, Campus Lyngby",2020,,165.0,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,"Teknika, Campus Lyngby",2021,,157.0,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,"Teknika, Campus Lyngby",2022,,142.0,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,"Teknika, Campus Lyngby",2023,25.0,111.0,,
Maritime uddannelsesinstitutioner,Teknika – Copenhagen College of Technology Management and Marine Engineering,"Teknika, Campus Lyngby",2024,,38.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, Aarhus",2015,16.0,306.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, Aarhus",2016,26.0,273.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, Aarhus",2017,24.0,282.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, Aarhus",2018,17.0,279.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, Aarhus",2019,21.0,262.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, Aarhus",2020,15.0,277.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, Aarhus",2021,27.0,395.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, Aarhus",2022,21.0,251.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, Aarhus",2023,19.0,181.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, Aarhus",2024,,233.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, København",2015,59.0,158.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, København",2016,76.0,211.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, København",2017,82.0,209.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, København",2018,48.0,223.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, København",2019,67.0,221.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, København",2020,43.0,213.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, København",2021,60.0,222.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, København",2022,47.0,229.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, København",2023,68.0,223.0,,
Professionshøjskoler,Danmarks Medie- og Journalisthøjskole,"Danmarks Medie- og journalisthøjskole, København",2024,,207.0,,
Professionshøjskoler,Københavns Professionshøjskole,"Administrationsuddannelserne, Metropol",2015,1658.0,136.0,,
Professionshøjskoler,Københavns Professionshøjskole,"Administrationsuddannelserne, Metropol",2016,1938.0,161.0,,
Professionshøjskoler,Københavns Professionshøjskole,"Administrationsuddannelserne, Metropol",2017,1913.0,,,
Professionshøjskoler,Københavns Professionshøjskole,"Administrationsuddannelserne, Metropol",2018,2204.0,,,
Professionshøjskoler,Københavns Professionshøjskole,"Administrationsuddannelserne, Metropol",2019,2221.0,,,
Professionshøjskoler,Københavns Professionshøjskole,"Administrationsuddannelserne, Metropol",2020,2046.0,,,
Professionshøjskoler,Københavns Professionshøjskole,"Administrationsuddannelserne, Metropol",2021,2344.0,,,
Professionshøjskoler,Københavns Professionshøjskole,"Administrationsuddannelserne, Metropol",2022,2282.0,,,
Professionshøjskoler,Københavns Professionshøjskole,"Administrationsuddannelserne, Metropol",2023,2277.0,,,
Professionshøjskoler,Københavns Professionshøjskole,"Administrationsuddannelserne, Metropol",2024,,,,
Professionshøjskoler,Københavns Professionshøjskole,Bioanalytikeruddannelsen Metropol,2015,67.0,83.0,,
Professionshøjskoler,Københavns Professionshøjskole,Bioanalytikeruddannelsen Metropol,2016,12.0,91.0,,
Professionshøjskoler,Københavns Professionshøjskole,Bioanalytikeruddannelsen Metropol,2017,,,,
Professionshøjskoler,Københavns Professionshøjskole,Bioanalytikeruddannelsen Metropol,2018,,,,
Professionshøjskoler,Københavns Professionshøjskole,Bioanalytikeruddannelsen Metropol,2019,,,,
Professionshøjskoler,Københavns Professionshøjskole,Bioanalytikeruddannelsen Metropol,2020,,,,
Professionshøjskoler,Københavns Professionshøjskole,Bioanalytikeruddannelsen Metropol,2021,,,,
Professionshøjskoler,Københavns Professionshøjskole,Bioanalytikeruddannelsen Metropol,2022,,,,
Professionshøjskoler,Københavns Professionshøjskole,Bioanalytikeruddannelsen Metropol,2023,,,,
Professionshøjskoler,Københavns Professionshøjskole,Bioanalytikeruddannelsen Metropol,2024,,,,
Professionshøjskoler,Københavns Professionshøjskole,Center for Tegnsprog - Tolkeuddannelsen Skovlunde - UCC,2015,39.0,17.0,,
Professionshøjskoler,Københavns Professionshøjskole,Center for Tegnsprog - Tolkeuddannelsen Skovlunde - UCC,2016,,10.0,,
Professionshøjskoler,Københavns Professionshøjskole,Center for Tegnsprog - Tolkeuddannelsen Skovlunde - UCC,2017,,,,
Professionshøjskoler,Københavns Professionshøjskole,Center for Tegnsprog - Tolkeuddannelsen Skovlunde - UCC,2018,,,,
Professionshøjskoler,Københavns Professionshøjskole,Center for Tegnsprog - Tolkeuddannelsen Skovlunde - UCC,2019,,,,
Professionshøjskoler,Københavns Professionshøjskole,Center for Tegnsprog - Tolkeuddannelsen Skovlunde - UCC,2020,,,,
Professionshøjskoler,Københavns Professionshøjskole,Center for Tegnsprog - Tolkeuddannelsen Skovlunde - UCC,2021,,,,
Professionshøjskoler,Københavns Professionshøjskole,Center for Tegnsprog - Tolkeuddannelsen Skovlunde - UCC,2022,,,,
Professionshøjskoler,Københavns Professionshøjskole,Center for Tegnsprog - Tolkeuddannelsen Skovlunde - UCC,2023,,,,
Professionshøjskoler,Københavns Professionshøjskole,Center for Tegnsprog - Tolkeuddannelsen Skovlunde - UCC,2024,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ergoterapeutuddannelsen Metropol,2015,23.0,111.0,,
Professionshøjskoler,Københavns Professionshøjskole,Ergoterapeutuddannelsen Metropol,2016,,102.0,,
Professionshøjskoler,Københavns Professionshøjskole,Ergoterapeutuddannelsen Metropol,2017,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ergoterapeutuddannelsen Metropol,2018,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ergoterapeutuddannelsen Metropol,2019,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ergoterapeutuddannelsen Metropol,2020,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ergoterapeutuddannelsen Metropol,2021,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ergoterapeutuddannelsen Metropol,2022,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ergoterapeutuddannelsen Metropol,2023,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ergoterapeutuddannelsen Metropol,2024,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ernærings- og sundhedsuddannelserne Metropol,2015,40.0,206.0,,
Professionshøjskoler,Københavns Professionshøjskole,Ernærings- og sundhedsuddannelserne Metropol,2016,,226.0,,
Professionshøjskoler,Københavns Professionshøjskole,Ernærings- og sundhedsuddannelserne Metropol,2017,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ernærings- og sundhedsuddannelserne Metropol,2018,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ernærings- og sundhedsuddannelserne Metropol,2019,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ernærings- og sundhedsuddannelserne Metropol,2020,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ernærings- og sundhedsuddannelserne Metropol,2021,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ernærings- og sundhedsuddannelserne Metropol,2022,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ernærings- og sundhedsuddannelserne Metropol,2023,,,,
Professionshøjskoler,Københavns Professionshøjskole,Ernærings- og sundhedsuddannelserne Metropol,2024,,,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Metropol,2015,91.0,188.0,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Metropol,2016,20.0,191.0,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Metropol,2017,,,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Metropol,2018,,,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Metropol,2019,,,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Metropol,2020,,,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Metropol,2021,,,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Metropol,2022,,,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Metropol,2023,,,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Metropol,2024,,,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Nordsjælland - UCC,2015,61.0,68.0,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Nordsjælland - UCC,2016,,24.0,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Nordsjælland - UCC,2017,,,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Nordsjælland - UCC,2018,,,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Nordsjælland - UCC,2019,,,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Nordsjælland - UCC,2020,,,,
Professionshøjskoler,Københavns Professionshøjskole,Fysioterapeutuddannelsen Nordsjælland - UCC,2021,,,,
