Institution,Subinstitution,InstitutionType,År,Afbrudte,Fuldførte,Latitude,Longitude
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Sønderhøj",2019,50.0,1315.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Sønderhøj",2020,66.0,1297.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Sønderhøj",2021,50.0,1439.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Sønderhøj",2022,34.0,1424.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Sønderhøj",2023,53.0,1514.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Sønderhøj",2024,,1318.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Tretommervej",2015,525.0,155.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Tretommervej",2016,413.0,151.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Tretommervej",2017,411.0,141.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Tretommervej",2018,510.0,141.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Tretommervej",2019,452.0,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Tretommervej",2020,517.0,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Tretommervej",2021,514.0,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Tretommervej",2022,299.0,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Tretommervej",2023,420.0,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Tretommervej",2024,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Grenaa",2015,421.0,45.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Grenaa",2016,399.0,81.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Grenaa",2017,334.0,64.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Grenaa",2018,311.0,64.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Grenaa",2019,327.0,46.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Grenaa",2020,346.0,51.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Grenaa",2021,358.0,64.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Grenaa",2022,216.0,58.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Grenaa",2023,331.0,54.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Grenaa",2024,,50.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hadsten",2015,26.0,53.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hadsten",2016,27.0,42.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hadsten",2017,27.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hadsten",2018,14.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hadsten",2019,22.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hadsten",2020,19.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hadsten",2021,21.0,,,
